Product Name,Price
VGA (การ์ดแสดงผล) ASUS DUAL GTX1650 4G - 4GB GDDR5,"
10,400.-
 "
VGA (การ์ดแสดงผล) MANLI GEFORCE RTX 3090 GALLARDO - 24GB GDDR6X (M3486+N613-00),"
111,000.-
"
VGA (การ์ดแสดงผล) MANLI GEFORCE RTX 3080 TI GALLARDO - 12GB GDDR6X (M3486+N612-00) [LHR],"
79,900.-
"
VGA (การ์ดแสดงผล) MANLI GEFORCE RTX 3060 GALLARDO - 12GB GDDR6 (M2510+N630-00) [LHR],"
30,900.-
"
VGA (การ์ดแสดงผล) MANLI GEFORCE GTX 1650 LOW PROFILE - 4GB GDDR6 (M2472+N596-02),"
10,900.-
"
VGA (การ์ดแสดงผล) AMD RADEON PRO WX 3100 - 4GB GDDR5 (HALF HEIGHT / LP),"
7,990.-
"
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 3080 ICHILL X3 LHR - 10GB GDDR6X (C30803-106XX-1810VA37H),"
59,900.-
"
VGA (การ์ดแสดงผล) MSI RADEON RX 6900 XT GAMING Z TRIO 16G - 16GB GDDR6,"
92,900.-
"
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 3070 TI ICHILL X4 - 8GB GDDR6X (C307T4-086XX-1820VA35) [LHR],"
52,500.-
"
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 3070 ICHILL X4 LHR - 8GB GDDR6 (C30704-08D6X-1710VA35H),"
49,900.-
"
VGA (การ์ดแสดงผล) ASUS ROG STRIX LC RX6900XT T16G GAMING - 16GB GDDR6,"
89,900.-
"
VGA (การ์ดแสดงผล) ASUS GEFORCE GT 730 2GB GDDR5 (GT730-SL-2GD5-BRK),"
2,850.-
"
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 3060 TWIN EDGE OC - 12GB GDDR6 (ZT-A30600H-10M-LHR) (LHR),"
34,500.-
"
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 3080 TI VENTUS 3X 12G OC - 12GB GDDR6X,"
88,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE AORUS GEFORCE RTX 3060 TI ELITE 8G - 8GB GDDR6 (GV-N306TAORUS E-8GD) (REV. 2.0) (LHR),"
39,900.-
"
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 3080 TRINITY OC LHR - 10GB GDDR6X (ZT-A30800J-10PLHR),"
61,600.-
"
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 3070 TWIN EDGE OC LHR - 8GB GDDR6 (ZT-A30700H-10PLHR),"
43,900.-
"
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX3060TI HURRICANE 8GB GDDR6 (LHR),"
36,200.-
"
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 3070 GAMING OC 8G - 8GB GDDR6 (GV-N3070GAMING OC-8GD) (REV. 2.0) (LHR),"
47,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 3070 TI EAGLE 8G - 8GB GDDR6X (GV-N307TEAGLE-8GD),"
49,900.-
"
VGA (การ์ดแสดงผล) LEADTEK NVIDIA QUADRO RTX A6000 48GB GDDR6,"
189,000.-
"
VGA (การ์ดแสดงผล) LEADTEK NVIDIA QUADRO RTX A5000 24GB GDDR6,"
99,500.-
 "
VGA (การ์ดแสดงผล) ASUS DUAL RTX3060TI O8G V2 - 8GB GDDR6 (LHR),"
35,900.-
"
VGA (การ์ดแสดงผล) ASUS TUF RTX3060TI O8G V2 GAMING - 8GB GDDR6 (LHR),"
38,900.-
"
VGA (การ์ดแสดงผล) GALAX GEFORCE GT 730 - 2GB DDR3,"
2,450.-
"
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 3060 (1-CLICK OC) - 12GB GDDR6 (LHR),"
29,900.-
"
VGA (การ์ดแสดงผล) MSI GEFORCE GT 730 - 2GB DDR3 (N730K-2GD3H/LPV1),"
2,350.-
"
VGA (การ์ดแสดงผล) AMD RADEON PRO W6800 - 32GB GDDR6,"
87,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE AORUS GEFORCE RTX 3070 TI MASTER 8G - 8GB GDDR6X (GV-N307TAORUS M-8GD),"
53,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE AORUS GEFORCE RTX 3080 TI MASTER 12G - 12GB GDDR6X (GV-N308TAORUS M-12GD),"
82,900.-
"
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 3080 TI AMP HOLO - 12GB GDDR6X (ZT-A30810F-10P),"
83,900.-
"
VGA (การ์ดแสดงผล) POWER COLOR LIQUID DEVIL AMD RADEON RX 6900 XT ULTIMATE 16GB GDDR6 (AXRX 6900XTU 16GBD6-W2DHC/OC),"
74,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE AORUS RADEON RX 6900 XT XTREME WATERFORCE WB 16G - 16GB GDDR6 (GV-R69XTAORUSX WB-16GD),"
83,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE RTX2060 6GB GDDR6 (GV-N2060D6-6GD-2.0),"
23,500.-
"
VGA (การ์ดแสดงผล) SAPPHIRE TOXIC AMD RADEON RX 6900 XT EXTREME EDITION - 16GB GDDR6,"
84,900.-
"
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 6900 XT OC FORMULA 16GB GDDR6 (RX6900XT OCF 16G),"
73,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE GTX 1050 TI D5 4G - 4GB GDDR5 (REV1.1) (GV-N105TD5-4GD),"
9,400.-
"
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 6900 XT PHANTOM GAMING D 16G OC - 16GB GDDR6 (RX6900XT PGD 16GO),"
64,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE AORUS RADEON RX 6900 XT MASTER 16G - 16GB GDDR6 (GV-R69XTAORUS M-16GD),"
69,900.-
"
VGA (การ์ดแสดงผล) ASUS DUAL RTX2060 O6G EVO - 6GB GDDR6,"
24,900.-
"
VGA (การ์ดแสดงผล) ASUS ROG STRIX LC RX6900XT O16G GAMING - 16GB GDDR6,"
89,900.-
"
VGA (การ์ดแสดงผล) POWER COLOR RED DEVIL RX6900XT 16GB GDDR6 (AXRX-6900XT-16GBD6-3DHE/OC),"
58,900.-
"
VGA (การ์ดแสดงผล) LEADTEK NVIDIA QUADRO RTX8000 - 48GB GDDR6,"
245,000.-
"
VGA (การ์ดแสดงผล) GALAX GEFORCE GTX 1650 EX (1-CLICK OC) GDDR6 - 4GB GDDR6,"
12,500.-
"
VGA (การ์ดแสดงผล) GIGABYTE QUADRO RTX4000 - 8GB GDDR6,"
39,900.-
"
VGA (การ์ดแสดงผล) ASUS DUAL GTX1650 O4G 4GB GDDR5,"
10,800.-
"
VGA (การ์ดแสดงผล) GIGABYTE GTX1660TI OC 6G 6GB GDDR6 (GV-N166TOC-6GD),"
22,900.-
"
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 2060 (1-CLICK OC) - 6GB GDDR6,"
23,900.-
"
VGA (การ์ดแสดงผล) GIGABYTE QUADRO P620 2GB DDR5,"
5,790.-
"
VGA (การ์ดแสดงผล) GIGABYTE GT 1030 LOW PROFILE D4 2G (GV-N1030D4-2GL),"
3,390.-
"
VGA (การ์ดแสดงผล) ASUS CERBERUS GTX1050TI O4G,"
9,900.-
"
VGA (การ์ดแสดงผล) INNO3D GT1030 2GB D5 64 BIT,"
3,850.-
"
